uniqname,command,file path,site
mstaunto,useradd,ubuntu/useradd.md,1
jstefan,uniq,basics/uniq.md,1
taswartz,uptime,basics/uptime.md,1
advayt,wc,basics/wc.md,1
mahirtaq,whereis,basics/whereis.md,1
artata,which,basics/which.md,1
noahtutt,who,basics/who.md,1
meugur,whoami,basics/whoami.md,1
puppula,atom,editors/atom.md,1
cvenkat,ed,editors/ed.md,1
achyuth,emacs,editors/emacs.md,1
amverni,gedit,editors/gedit.md,1
vmanisha,nano,editors/nano.md,1
wangandr,vi,editors/vi.md,1
wangjess,brew,os_x/brew.md,1
kriwang,caffeinate,os_x/caffeinate.md,1
yiminw,ditto,os_x/ditto.md,1
wernertn,open,os_x/open.md,1
whdavis,pbcopy,os_x/pbcopy.md,1
jalenjw,say,os_x/say.md,1
coltenw,screencapture,os_x/screencapture.md,1
nwilsonj,$_,scripting/$_.md,1
jworthy,$variable,scripting/$variable.md,1
jasonwoz,append_oper,scripting/append_oper.md,1
kerrywu,pipe_oper,scripting/pipe_oper.md,1
wusiyu,redir_oper,scripting/redir_oper.md,1
jasonxu,yes,scripting/yes.md,1
yzhiheng,clear,shells/clear.md,1
gregoryy,export,shells/export.md,1
youngmac,help,shells/help.md,1
zqyoung,apropos,tools/apropos.md,1
myounus,asciinema,tools/asciinema.md,1
myovan,cmp,tools/cmp.md,1
jialeyu,comm,tools/comm.md,1
irenezac,curl,tools/curl.md,1
maxrzaw,dc,tools/dc.md,1
azdon,dd,tools/dd.md,1
zeilmatt,diff,tools/diff.md,1
sunfr,factor,tools/factor.md,1
zhaokev,ffmpeg,tools/ffmpeg.md,1
michzhou,file,tools/file.md,1
hxzhu,find,tools/find.md,1
ryanzhu,grep,tools/grep.md,1
yifanzhu,ifconfig,tools/ifconfig.md,1
clayzim,ip,tools/ip.md,1
